Ticker,Name,Price,P/E (KGV),P/B (KBV),Umsatz ($B),Alpheon Score,Dividendenrendite (%)
EBAY,eBay Inc.,112.9,22.947155,10.769818,50.240499712,45.0,1.14
DUK,Duke Energy Corporation (Holdin,118.54,17.718983,1.7193166,92.425904128,70.0,3.66
DHL.DE,DHL AG                        N,56.28,17.158537,2.8029282,62.991007744,70.0,3.41
CI,The Cigna Group,276.0,11.601513,1.7076777,72.930369536,80.0,2.22
ABBN.SW,ABB LTD N,80.86,36.423424,11.268524,146.41831936,40.0,1.2
WBC.AX,WESTPAC FPO [WBC],34.75,17.118227,1.6770426,118.668034048,70.0,4.42
REGN,"Regeneron Pharmaceuticals, Inc.",789.45,19.15676,2.4973824,81.277820928,70.0,49.0
RCL,Royal Caribbean Cruises Ltd.,249.74,15.677339,6.525227,66.793484288,45.0,2.36
FMG.AX,FORTESCUE FPO [FMG],16.73,12.770992,1.7979865,51.511083008,80.0,6.45
SLB,SLB Limited,52.08,25.529413,2.9644809,77.2941824,65.0,2.26
FT,Franklin Universal Trust,7.41,5.613636,0.81797105,0.186227328,100.0,6.99
CMCSA,Comcast Corporation,22.91,7.6112957,0.90514004,81.299267584,100.0,5.56
TTE.PA,TOTALENERGIES,78.91,11.403179,1.5777217,174.314962944,80.0,4.52
4063.T,SHIN-ETSU CHEMICAL CO,5844.0,23.15556,2.384079,10607.238578176,70.0,2.01
ZT,ZT,0.0,0.0,0.0,0.0,50.0,0.0
SHEL.L,SHELL PLC ORD EUR0.07,3543.5,10.577613,1.4893794,202.452598784,90.0,3.24
TSLA,"Tesla, Inc.",366.2,332.9091,16.649239,1446.324338688,15.0,0.0
ISRG,"Intuitive Surgical, Inc.",383.54,43.883297,7.470879,137.413967872,15.0,0.0
GS,"Goldman Sachs Group, Inc. (The)",951.47,14.493069,2.6280143,277.04082432,80.0,2.13
HEI.DE,Heidelberg Materials AG       I,145.0,12.61967,1.3680019,25.491275776,90.0,2.4
